,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,addr_city,addr_district,addr_postal,parsed_json,hobbies,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year
0,1,Claudia Short,20,Unknown,,+1-619-379-4152,Katieland,,2022-09-03 23:22:44,Data science,,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{""hobbies"": [""gun"", ""nice""], ""skills"": {""tech"": {""python"": 2, ""excel"": 5, ""sql"": 1}, ""soft"": [""with"", ""onto""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1198, ""mother"": 1089}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2021}]}",Tashkent, South Kevin,100539,"{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}","gun,nice",2.0,5.0,1.0,"with,onto",4.0,1198.0,1089.0,laptop,HP,2021.0,phone,Xiaomi,2021.0
1,2,,20,Female,90.0,,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,Data science,,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,"{""hobbies"":[""against"", ""good""]}",Tashkent,,100332,"{'hobbies': ['against', 'good']}","against,good",,,,,,,,,,,,,
2,3,Kathryn Moyer,20,Unknown,90.0,,Lake Stevenmouth,,2017-08-14 00:00:00,Data science,,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","{""hobbies"": [""fast"", ""clearly""], ""skills"": {""tech"": {""python"": 5, ""excel"": 3, ""sql"": 1}, ""soft"": [""despite"", ""clearly""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 263, ""mother"": 202}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}",Tashkent,,,"{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}","fast,clearly",5.0,3.0,1.0,"despite,clearly",1.0,263.0,202.0,laptop,HP,2020.0,phone,Samsung,2023.0
3,4,Ruben Wilson,20,Female,81.0,,Port Pamelafort,,1973-09-17 00:00:00,Data science,,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{""hobbies"": [""left"", ""role""], ""skills"": {""tech"": {""python"": 3, ""excel"": 5, ""sql"": 1}, ""soft"": [""full"", ""series""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 508, ""mother"": 698}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2020}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2024}]}",Tashkent, North Tamara,100097,"{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}","left,role",3.0,5.0,1.0,"full,series",4.0,508.0,698.0,laptop,Lenovo,2020.0,phone,Samsung,2024.0
4,5,Robert Pruitt,20,Female,,+1-182-659-5631,Kingburgh,,2023-11-25 00:00:00,Data_sciense,,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""sort"", ""science""], ""skills"": {""tech"": {""python"": 1, ""excel"": 4, ""sql"": 1}, ""soft"": [""whose"", ""save""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 862, ""mother"": 1058}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2022}]}",,,,"{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}","sort,science",1.0,4.0,1.0,"whose,save",3.0,862.0,1058.0,laptop,Lenovo,2023.0,phone,Apple,2022.0
5,6,David Martinez,20,Male,90.0,+1-074-828-6016,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,Data science,,pending,,average,85.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{""hobbies"":[""order"", ""keep""]}",Tashkent, North Jamesfurt,100551,"{'hobbies': ['order', 'keep']}","order,keep",,,,,,,,,,,,,
6,7,,18,Female,71.0,+1-314-018-0928,Sharpfurt,nguyenlisa@horn.org,1982-01-16 00:00:00,Data science,,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","{""hobbies"": [""fall"", ""teacher""], ""skills"": {""tech"": {""python"": 4, ""excel"": 1, ""sql"": 4}, ""soft"": [""teacher"", ""good""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 1270, ""mother"": 931}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2018}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]}",Tashkent,,,"{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}","fall,teacher",4.0,1.0,4.0,"teacher,good",3.0,1270.0,931.0,laptop,HP,2018.0,phone,Xiaomi,2023.0
7,8,Nicholas Dennis,21,Female,90.0,+1-809-155-6011,Matthewfort,,2000-06-26 00:00:00,Python,63.0,active,4.5,excellent,135.0,1978-09-23 00:00:00,"70576 Butler Harbor Suite 847, Janetberg",,,,,,,,,,,,,,,,,,,
8,9,,20,Female,77.0,+1-854-964-5423,South Paulchester,stacysmith@taylor.biz,2000-03-15 00:00:00,Data science,,active,,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","{""hobbies"": [""require"", ""open""], ""skills"": {""tech"": {""python"": 1, ""excel"": 5, ""sql"": 4}, ""soft"": [""partner"", ""walk""]}, ""family"": {""siblings"": 0, ""income"": {""father"": 850, ""mother"": 1062}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2020}]}",Tashkent,,,"{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}","require,open",1.0,5.0,4.0,"partner,walk",0.0,850.0,1062.0,laptop,Dell,2019.0,phone,Apple,2020.0
9,10,Elizabeth Villegas,22,Female,,+1-205-467-4476,South Dianatown,anthonywalker@gmail.com,2013-02-11 07:12:29,Data_sciense,99.0,inactive,3.7,average,215.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""management"", ""to""], ""skills"": {""tech"": {""python"": 1, ""excel"": 1, ""sql"": 4}, ""soft"": [""beat"", ""southern""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 597, ""mother"": 1150}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2016}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2023}]}",,,,"{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}","management,to",1.0,1.0,4.0,"beat,southern",3.0,597.0,1150.0,laptop,Dell,2016.0,phone,Xiaomi,2023.0
